Dataset,Fold,Model,Versao,MSE,MAE
acceleration,2,XGB,Hardness-RO,0.756869815052352,0.61439798036295
acceleration,2,RF,Original,0.5766986337385723,0.5432167490050769
acceleration,2,RF,RO,0.7635109381682926,0.639603974209644
acceleration,2,RF,Hardness-RO,0.841298766740398,0.6588654055775816
acceleration,2,BAGGING,Original,0.670008533461415,0.5966666666666665
acceleration,2,BAGGING,RO,0.793486286831537,0.6470632895620616
acceleration,2,BAGGING,Hardness-RO,0.8941871141307899,0.6885221170115462
acceleration,3,SVR,Original,6.988455828706311,2.041026360539775
acceleration,3,SVR,RO,24.684011493580055,4.32110339714589
acceleration,3,SVR,Hardness-RO,7.026219607502386,2.098042874135039
acceleration,3,NNET,Original,115.28607597632349,6.577051805929178
acceleration,3,NNET,RO,7758.754521817872,18.956440313223975
acceleration,3,NNET,Hardness-RO,262.5632173111794,6.856477098013065
acceleration,3,XGB,Original,0.48093142927463156,0.4655574459561034
acceleration,3,XGB,RO,0.8765355821450874,0.5962461011258163
acceleration,3,XGB,Hardness-RO,0.6954667485893393,0.5769428889875468
acceleration,3,RF,Original,0.5452436298900128,0.52746297137352
acceleration,3,RF,RO,1.0381448564565525,0.6604760705508322
acceleration,3,RF,Hardness-RO,0.6732951837880367,0.59394879937353
acceleration,3,BAGGING,Original,0.6206601356775849,0.5549238921001927
acceleration,3,BAGGING,RO,1.0028642964193193,0.6723578272939394
acceleration,3,BAGGING,Hardness-RO,0.7803539764671257,0.6447692069295191
acceleration,4,SVR,Original,9.475986103380409,2.002516072535503
acceleration,4,SVR,RO,24.28044848630139,4.270538953001906
acceleration,4,SVR,Hardness-RO,9.218584488260687,2.013129225753636
acceleration,4,NNET,Original,3068.9532259148373,8.300537157556846
acceleration,4,NNET,RO,9707.948729593185,16.55591640153565
acceleration,4,NNET,Hardness-RO,2111.302884701579,14.394511833662548
acceleration,4,XGB,Original,0.7174969199272623,0.47639806697823417
acceleration,4,XGB,RO,0.6919158277442238,0.5897830020485586
acceleration,4,XGB,Hardness-RO,0.9981391853664942,0.592242142782046
acceleration,4,RF,Original,0.8762786347149972,0.5530925337186902
acceleration,4,RF,RO,0.8195583842953381,0.6544801249489812
acceleration,4,RF,Hardness-RO,0.9992572220167819,0.6359797000183226
acceleration,4,BAGGING,Original,0.9747679842646113,0.5942244701348749
